userName,userID,accCreatedAt,followCreatedAt
jsza21,474830254,2019-11-26 23:42:14,2020-03-15 21:54:10
sktdonpeyote,68519427,2014-08-09 02:32:34,2020-03-15 21:52:27
luismel19,235601922,2018-07-02 08:47:27,2020-03-14 00:58:48
mippoyatiessa,430176375,2019-04-15 13:02:40,2020-03-06 21:49:30
agente_xd,253086949,2018-08-29 14:05:25,2020-03-06 21:23:36
elptopopa,272652659,2018-11-05 19:53:58,2020-03-03 21:28:47
fraguilla,82608107,2015-02-14 02:56:29,2020-01-20 12:04:24
aireeen,147355078,2017-02-09 18:58:35,2020-01-16 17:26:53
djonny98,179859012,2017-10-30 23:21:48,2020-01-16 17:26:08
camilari13,161292806,2017-06-23 17:22:25,2020-01-09 18:06:10
pacman94twitch,173501195,2017-09-09 15:48:55,2019-11-18 17:33:30
delasherass,186458397,2017-12-19 12:05:47,2019-10-31 17:42:59
beeruspump,159556244,2017-06-09 00:05:24,2019-10-24 18:52:25
mikury12,179074964,2017-10-24 23:19:28,2019-08-21 04:01:26
diablillo_x9,134339855,2016-09-10 03:37:15,2019-07-25 22:54:03
jay_manquinha,75637593,2014-11-21 19:15:28,2019-07-23 22:23:01
pablosky42,81557881,2015-02-01 20:59:11,2019-07-22 16:29:04
sonkelot,90317731,2015-05-05 16:09:57,2019-07-20 18:57:10
duvancho15,45394821,2013-06-30 00:39:45,2019-07-17 23:52:39
sinfe13,62684578,2014-05-16 16:12:31,2017-01-07 20:24:43
carlossp93,76935089,2014-12-10 14:38:32,2017-01-07 20:22:44
irod3s,39622213,2013-01-23 22:19:04,2017-01-07 19:47:26
danisacris,77735353,2014-12-22 17:46:12,2015-03-01 23:40:18
